,FIBA_P&R Ball Handler,FIBA_Spot-Up,FIBA_Transition,FIBA_ISO,FIBA_Post-Up,FIBA_P&R Roll Man,FIBA_Cut,FIBA_Offensive Rebound,FIBA_Off Screen,FIBA_Hand Off,FIBA_Cluster,INTL_P&R Ball Handler,INTL_Spot-Up,INTL_Transition,INTL_ISO,INTL_Post-Up,INTL_P&R Roll Man,INTL_Cut,INTL_Offensive Rebound,INTL_Off Screen,INTL_Hand Off,INTL_Cluster,NBA_P&R Ball Handler,NBA_Spot-Up,NBA_Transition,NBA_ISO,NBA_Post-Up,NBA_P&R Roll Man,NBA_Cut,NBA_Offensive Rebound,NBA_Off Screen,NBA_Hand Off,NBA_Cluster
5957,19,44,33,16,30,11,17,30,14,6,0,,,,,,,,,,,,,,,,,,,,,,
7137,138,34,18,4,0,0,6,11,6,3,2,,,,,,,,,,,,,,,,,,,,,,
5922,6,57,39,11,0,0,23,25,27,31,4,,,,,,,,,,,,,,,,,,,,,,
6248,0,73,21,5,26,35,26,27,3,3,0,,,,,,,,,,,,,,,,,,,,,,
7860,4,21,31,5,53,25,50,25,5,0,5,,,,,,,,,,,,,,,,,,,,,,
8378,96,31,9,33,26,0,1,9,8,6,1,,,,,,,,,,,,,,,,,,,,,,
5977,1,35,10,9,83,29,19,28,4,0,5,,,,,,,,,,,,,,,,,,,,,,
6041,111,9,32,34,3,0,5,13,2,9,2,,,,,,,,,,,,,,,,,,,,,,
6544,66,68,26,13,2,0,5,17,10,11,6,,,,,,,,,,,,,,,,,,,,,,
6546,64,55,34,19,5,1,15,13,9,3,6,,,,,,,,,,,,,,,,,,,,,,
